Date,Price,Open,High,Low,Vol.,Change %
10/15/2021,299,295,299,292.2,250.60K,1.36%
10/14/2021,295,290,295,290,105.33K,2.08%
10/13/2021,289,292,292,288,176.95K,-0.89%
10/12/2021,291.6,293,296,290.8,187.81K,-0.14%
10/11/2021,292,292,296,288.2,165.42K,1.39%
10/08/2021,288,295.4,298,288,190.28K,-1.71%
10/07/2021,293,296.2,297,293,98.31K,-0.34%
10/06/2021,294,295,296.2,293.2,97.61K,-0.34%
10/05/2021,295,292.8,296.8,292.8,107.49K,1.03%
10/04/2021,292,297,297,292,112.38K,-1.68%
10/01/2021,297,298,298.2,295,102.55K,-0.34%
09/30/2021,298,296.8,298,294,151.08K,0.34%
09/29/2021,297,295,297,291,113.36K,0.34%
09/28/2021,296,296.2,296.2,292.4,180.90K,-0.07%
09/27/2021,296.2,292,296.2,290,169.43K,1.44%
09/24/2021,292,295,295,292,64.73K,0.00%
09/23/2021,292,291.8,293.8,291.6,124.09K,1.39%
09/22/2021,288,292.4,295.8,288,189.36K,-2.04%
09/21/2021,294,287,294,287,124.30K,1.73%
09/20/2021,289,294,294.4,289,113.69K,-2.36%
09/17/2021,296,296,297.8,294,272.63K,0.00%
09/16/2021,296,296,296,293,131.93K,-0.27%
09/15/2021,296.8,295,298,291.8,213.26K,0.61%
09/14/2021,295,297.8,298,295,200.06K,-0.94%
09/13/2021,297.8,293.6,297.8,292,284.68K,1.43%
09/10/2021,293.6,290.4,293.6,290.2,191.15K,0.89%
09/09/2021,291,292,292,289.4,61.92K,-0.34%
09/08/2021,292,290,292,289.4,467.28K,0.90%
09/07/2021,289.4,290,290,287.4,101.69K,-0.14%
09/06/2021,289.8,289.8,291.6,287.2,69.57K,0.00%
09/03/2021,289.8,281.8,292,281.8,441.55K,2.84%
09/02/2021,281.8,285.2,288,281.8,200.03K,-1.19%
09/01/2021,285.2,282,288.8,279.2,283.58K,1.13%
08/31/2021,282,285,289.8,275,1.56M,-1.05%
08/27/2021,285,289.4,292,285,272.67K,-1.72%
08/26/2021,290,290,290,286,192.61K,0.00%
08/25/2021,290,288.6,290,287.4,101.15K,0.35%
08/24/2021,289,282,289.4,281,297.86K,2.85%
08/23/2021,281,285,285,281,250.27K,-1.75%
08/20/2021,286,290,290,285,253.32K,-1.38%
08/19/2021,290,284.8,290,281,234.83K,1.75%
08/18/2021,285,287,287,278,151.07K,-2.40%
08/17/2021,292,289.8,292,287,596.83K,0.34%
08/16/2021,291,289.8,291,283,309.86K,0.34%
08/13/2021,290,280,290.2,278,1.82M,3.57%
08/12/2021,280,280.2,280.2,277,127.30K,-0.43%
08/11/2021,281.2,276.6,281.2,275,669.04K,1.74%
08/10/2021,276.4,270.4,277,270.4,270.67K,2.37%
08/09/2021,270,276.8,276.8,270,158.97K,-2.17%
08/06/2021,276,272,277.8,272,209.73K,1.47%
08/05/2021,272,269.8,272,268,200.79K,1.49%
08/04/2021,268,269,270.8,266,169.54K,-0.37%
08/03/2021,269,265.2,269,263.2,295.19K,1.43%
08/02/2021,265.2,265,267,264,180.51K,0.08%
07/30/2021,265,269,269,265,352.63K,-0.75%
07/29/2021,267,267,269.8,266.6,262.01K,0.00%
07/28/2021,267,272,272,267,199.32K,-1.84%
07/27/2021,272,269,272,268,200.27K,1.87%
07/26/2021,267,269.8,269.8,267,103.06K,-0.74%
07/23/2021,269,270,270,267.8,84.73K,-0.15%
07/22/2021,269.4,267,270.4,267,97.77K,1.28%
07/21/2021,266,270.6,274,266,410.58K,-1.70%
07/19/2021,270.6,272,272.4,270.4,257.20K,-0.51%
07/16/2021,272,273.2,277,272,250.17K,-0.37%
07/15/2021,273,275.2,278,273,104.67K,-0.58%
07/14/2021,274.6,276.4,276.6,274.6,203.44K,-0.72%
07/13/2021,276.6,275.4,276.8,275.4,89.26K,0.44%
07/12/2021,275.4,275.8,280,274.4,294.85K,0.07%
07/09/2021,275.2,280.6,280.8,275.2,404.03K,-2.06%
07/08/2021,281,285,285,280,197.50K,-1.40%
07/07/2021,285,284.4,285,282,160.68K,0.49%
07/06/2021,283.6,283,284.8,282,147.65K,0.57%
07/05/2021,282,282,283.4,281.8,63.42K,0.14%
07/02/2021,281.6,280.8,281.6,278.4,176.80K,1.29%
07/01/2021,278,278,281,277.4,148.15K,0.29%
06/30/2021,277.2,279,279,276,198.58K,0.80%
06/29/2021,275,278,279,275,127.91K,-1.08%
06/28/2021,278,275.4,278.6,275.4,160.20K,0.94%
06/25/2021,275.4,276,277.8,275.4,178.81K,-0.07%
06/24/2021,275.6,278,278,275.6,209.11K,0.15%
06/23/2021,275.2,276,278,275.2,214.43K,-0.29%
06/22/2021,276,278,278.2,275.8,148.34K,0.07%
06/21/2021,275.8,279.6,279.6,275.2,130.73K,-1.36%
06/18/2021,279.6,278.4,280,275,486.40K,0.58%
06/17/2021,278,279,279.2,277.2,167.05K,0.00%
06/16/2021,278,280,281.6,277,228.68K,-0.71%
06/15/2021,280,280.2,281.6,279.2,440.48K,0.00%
06/14/2021,280,279,282.2,279,125.73K,0.00%
06/11/2021,280,280,280.4,278,116.58K,0.86%
06/10/2021,277.6,278,280.8,277.6,193.91K,0.80%
06/09/2021,275.4,275.4,278.6,275.4,123.02K,0.15%
06/08/2021,275,275.6,281,275,263.07K,0.00%
06/07/2021,275,281,282,275,409.61K,-2.48%
06/04/2021,282,285,285,281.2,146.89K,-0.70%
06/03/2021,284,285,285.4,280,148.00K,-0.35%
06/02/2021,285,280,285,278.2,165.86K,1.79%
06/01/2021,280,283.6,283.6,280,176.84K,-1.27%
05/31/2021,283.6,284,284.6,282,101.71K,-0.14%
05/28/2021,284,276.4,285,276.4,372.26K,2.90%
05/27/2021,276,272.8,276.6,272.8,1.12M,1.25%
05/26/2021,272.6,274,276.4,272.6,324.90K,-0.51%
05/25/2021,274,272.4,274,271.8,245.06K,0.59%
05/24/2021,272.4,272,273.6,271.8,119.40K,0.15%
05/21/2021,272,274,275,272,142.92K,-0.73%
05/20/2021,274,274,274,272.6,187.81K,0.07%
05/19/2021,273.8,273.8,273.8,272,73.03K,0.00%
05/18/2021,273.8,273.8,273.8,271.4,118.11K,0.00%
05/17/2021,273.8,274,274,271,174.43K,-0.07%
05/14/2021,274,274,274.2,271.2,200.48K,-0.07%
05/12/2021,274.2,274.8,274.8,272.2,77.86K,-0.22%
05/11/2021,274.8,272,274.8,271.8,107.01K,0.96%
05/10/2021,272.2,273.6,274.2,272,77.81K,-0.58%
05/07/2021,273.8,273,273.8,271.2,87.86K,1.33%
05/06/2021,270.2,272.6,273.8,270.2,135.22K,-0.88%
05/05/2021,272.6,274.6,274.6,272,76.00K,0.07%
05/04/2021,272.4,272.6,274.8,272.4,79.19K,0.00%
05/03/2021,272.4,273,275,272.4,94.39K,-0.15%
04/30/2021,272.8,274.8,275.4,272.8,174.76K,-1.09%
04/29/2021,275.8,273,275.8,271.2,201.16K,1.70%
04/28/2021,271.2,274.6,274.6,271.2,242.78K,0.37%
04/27/2021,270.2,273,275,270.2,247.24K,-1.75%
04/26/2021,275,275,276.4,272.4,118.85K,0.00%
04/23/2021,275,274,275,271,153.15K,0.00%
04/22/2021,275,271.2,275,271.2,133.37K,1.48%
04/21/2021,271,276,277.6,271,214.84K,-2.52%
04/20/2021,278,274.4,278,274,137.06K,1.61%
04/19/2021,273.6,274,276,273.6,83.76K,-0.07%
04/16/2021,273.8,275.2,277.6,273.2,119.90K,-0.44%
04/15/2021,275,278,278,274,116.13K,-1.08%
04/14/2021,278,277.8,278.6,273,156.00K,-0.22%
04/13/2021,278.6,282.2,282.6,275,165.46K,-1.28%
04/12/2021,282.2,281,283,280,119.36K,0.57%
04/08/2021,280.6,283.6,284,280,188.59K,-1.13%
04/07/2021,283.8,276.6,283.8,276.6,256.66K,2.83%
04/06/2021,276,275,276.8,274.8,93.91K,0.51%
04/05/2021,274.6,272.4,276.8,270.8,101.24K,0.96%
03/31/2021,272,276.2,277,272,250.04K,-1.95%
03/30/2021,277.4,270.2,277.4,270.2,135.80K,2.74%
03/29/2021,270,270.2,276,270,228.95K,-0.15%
03/26/2021,270.4,274.6,274.6,270.4,172.81K,-1.53%
03/25/2021,274.6,273,274.6,270.2,262.14K,-1.93%
03/24/2021,280,273.6,280,272.2,285.79K,2.94%
03/23/2021,272,273,279,272,243.90K,-0.22%
03/22/2021,272.6,275.6,280,271.8,253.52K,-2.64%
03/19/2021,280,273.6,280,270,537.42K,2.34%
03/18/2021,273.6,268,274,268,77.90K,2.09%
03/17/2021,268,268.6,272.8,268,410.36K,0.22%
03/16/2021,267.4,269,273.8,267,323.79K,0.00%
03/15/2021,267.4,278,278,266.8,369.11K,-1.33%
03/12/2021,271,273,275.8,270.8,238.44K,-0.44%
03/11/2021,272.2,282,282,271.2,224.68K,-2.09%
03/10/2021,278,278.8,282,275,378.07K,0.29%
03/09/2021,277.2,275.4,279,272,112.39K,0.73%
03/08/2021,275.2,279,280,271,251.99K,-1.36%
03/05/2021,279,277.6,280.8,277.2,163.60K,0.50%
03/04/2021,277.6,281,283,277.2,237.99K,-1.21%
03/03/2021,281,276,281.6,275,230.38K,1.81%
03/02/2021,276,282,284,275,252.86K,0.73%
03/01/2021,274,278,286.4,274,228.89K,1.11%
02/26/2021,271,275,278,270.4,737.99K,-1.45%
02/24/2021,275,278.8,279,275,300.14K,-1.29%
02/23/2021,278.6,284.8,289,277.8,253.98K,-2.25%
02/22/2021,285,283,288,283,349.45K,1.06%
02/19/2021,282,285.4,288.8,282,263.81K,-1.26%
02/18/2021,285.6,288.2,289.8,285.6,336.17K,-0.83%
02/17/2021,288,289.4,291.4,288,187.46K,-1.97%
02/16/2021,293.8,289,294,289,44.54K,1.66%
02/15/2021,289,289.2,294,289,110.38K,-0.07%
02/11/2021,289.2,294.8,294.8,289.2,120.27K,-1.90%
02/10/2021,294.8,293,294.8,291.4,127.74K,0.41%
02/09/2021,293.6,291,294.8,290.2,156.58K,0.89%
02/08/2021,291,293,295,289,371.38K,-0.95%
02/05/2021,293.8,288,293.8,285,440.10K,2.01%
02/04/2021,288,284,288,281.6,160.28K,1.41%
02/03/2021,284,284.8,284.8,279,404.16K,-0.28%
02/02/2021,284.8,275,284.8,275,222.01K,2.89%
02/01/2021,276.8,268,278,268,366.57K,6.05%
01/29/2021,261,280,282.8,261,984.72K,-6.79%
01/28/2021,280,280,286,280,185.78K,0.00%
01/27/2021,280,281.6,282,280,267.80K,-0.71%
01/26/2021,282,284,285,282,141.21K,-0.70%
01/25/2021,284,285,290,284,212.66K,-0.35%
01/22/2021,285,288,289.8,282.8,341.71K,-0.35%
01/21/2021,286,293.8,293.8,286,211.60K,-2.65%
01/20/2021,293.8,290.4,293.8,288,209.15K,1.31%
01/19/2021,290,291.2,293.8,290,386.30K,-2.36%
01/18/2021,297,297,297,293,232.29K,-0.07%
01/15/2021,297.2,292,298.8,290.2,124.32K,2.41%
01/14/2021,290.2,298.6,299,290.2,517.87K,-2.16%
01/13/2021,296.6,295,299.4,294.4,115.41K,0.54%
01/12/2021,295,298,299.6,295,157.52K,-1.01%
01/11/2021,298,300,301.4,295,338.64K,-0.33%
01/08/2021,299,297,300,294.2,397.59K,0.67%
01/07/2021,297,298.6,298.6,294,156.33K,-0.67%
01/06/2021,299,299.2,299.2,291,174.00K,-0.07%
01/05/2021,299.2,295,299.2,288.8,281.44K,1.42%
01/04/2021,295,293,295,292,180.93K,1.03%
12/29/2020,292,290,293,289,333.66K,1.25%
12/28/2020,288.4,285,292,285,159.07K,2.05%
12/23/2020,282.6,282,284,281.8,230.02K,0.21%
12/22/2020,282,283,284.2,282,240.26K,-0.28%
12/21/2020,282.8,283,285.8,282,257.05K,0.43%
12/18/2020,281.6,285,289.4,281.6,660.21K,-0.85%
12/17/2020,284,285.8,289.4,284,579.94K,-0.63%
12/16/2020,285.8,295,295,285.8,458.65K,-0.42%
12/15/2020,287,290,294.8,287,353.81K,0.00%
12/14/2020,287,294.6,295,287,537.37K,-1.03%
12/11/2020,290,300,300,290,420.42K,-1.83%
12/10/2020,295.4,300,300,295.4,287.91K,-1.53%
12/09/2020,300,298,303.6,298,244.57K,1.01%
12/07/2020,297,295,301.6,294.4,282.91K,0.68%
12/04/2020,295,296,300.4,294,196.50K,-0.34%
12/03/2020,296,300,300,290.2,293.95K,-0.67%
12/02/2020,298,300,300,295,301.76K,-0.67%
12/01/2020,300,282,300,282,317.19K,6.53%
11/27/2020,281.6,287,294.8,281.6,1.15M,-1.88%
11/26/2020,287,295,295.4,285,302.62K,-2.71%
11/25/2020,295,299.8,299.8,295,258.14K,-1.60%
11/24/2020,299.8,301.6,303,295.2,382.49K,-0.40%
11/23/2020,301,304.2,309,301,264.02K,-1.05%
11/20/2020,304.2,303,306,301,134.73K,1.40%
11/19/2020,300,309,309,300,234.94K,-1.96%
11/18/2020,306,309,310.4,300.4,297.74K,-1.61%
11/17/2020,311,314,314,305.2,156.05K,-1.27%
11/16/2020,315,305,315,300.4,132.21K,3.96%
11/13/2020,303,309.6,309.6,300,150.51K,-2.38%
11/11/2020,310.4,310,313,309.2,156.27K,0.13%
11/10/2020,310,310,313,304,453.90K,-0.96%
11/09/2020,313,300.2,313,298,285.77K,4.26%
11/06/2020,300.2,297.8,301,296.8,272.20K,1.42%
11/05/2020,296,302,305.4,296,269.99K,-1.66%
11/04/2020,301,300,302.4,296,386.99K,0.40%
11/03/2020,299.8,300,300.6,295,173.29K,-0.07%
10/30/2020,300,295,300,291,316.33K,2.04%
10/29/2020,294,293,295,290,295.81K,1.03%
10/28/2020,291,290,295,290,166.99K,-1.36%
10/27/2020,295,297.8,297.8,293,120.03K,-1.01%
10/26/2020,298,295,298.8,294,140.69K,1.02%
10/23/2020,295,295,295,289.2,320.44K,0.00%
10/22/2020,295,284.8,295,281.2,801.19K,3.51%
10/21/2020,285,290,291,285,256.05K,-1.45%
10/20/2020,289.2,289.6,291.6,286,201.02K,-0.14%
10/19/2020,289.6,290,290,285,166.50K,-0.82%
10/16/2020,292,285.4,293.8,285.4,528.56K,2.31%
10/15/2020,285.4,283.8,286.8,281.8,257.37K,0.56%
10/14/2020,283.8,283.8,283.8,281.2,223.33K,-0.07%
10/13/2020,284,281,284,279.6,128.06K,1.07%
10/12/2020,281,274,284.6,273.8,364.56K,2.70%